name,price,star,rating,review,specifications
"REDMI 9i (Midnight Black, 64 GB)","₹8,299",4.3,"3,17,243 Ratings "," 17,994 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO M3 (Cool Blue, 64 GB)","₹10,999",4.3,"1,76,091 Ratings "," 13,034 Reviews","6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 662 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"realme C21 (Cross Black, 64 GB)","₹8,999",4.4,"20,873 Ratings ", 854 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio G35 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"realme C21 (Cross Black, 32 GB)","₹7,999",4.5,"21,923 Ratings ", 977 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio G35 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"realme C21 (Cross Blue, 64 GB)","₹8,999",4.4,"20,873 Ratings ", 854 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio G35 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"Infinix Hot 10 Play (Aegean Blue, 64 GB)","₹8,499",4.3,"23,193 Ratings "," 1,751 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"REDMI 9i (Nature Green, 64 GB)","₹8,299",4.3,"3,17,243 Ratings "," 17,994 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO M3 (Power Black, 128 GB)","₹11,999",4.3,"1,76,091 Ratings "," 13,034 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 662 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"realme C20 (Cool Grey, 32 GB)","₹6,999",4.4,"41,843 Ratings "," 1,929 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediaTek Helio G35 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"realme C20 (Cool Blue, 32 GB)","₹6,999",4.4,"41,843 Ratings "," 1,929 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediaTek Helio G35 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"Infinix Hot 10 Play (7° Purple, 64 GB)","₹8,499",4.3,"23,193 Ratings "," 1,751 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"Infinix Hot 10 Play (Morandi Green, 64 GB)","₹8,499",4.3,"23,193 Ratings "," 1,751 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"realme Narzo 20 (Victory Blue, 64 GB)","₹10,499",4.3,"4,48,247 Ratings "," 34,694 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display48MP + 8MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion BatteryMediaTek Helio G85 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"REDMI 9i (Sea Blue, 64 GB)","₹8,299",4.3,"3,17,243 Ratings "," 17,994 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"POCO M3 (Power Black, 64 GB)","₹10,999",4.3,"1,76,091 Ratings "," 13,034 Reviews","6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 662 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"POCO M2 Reloaded (Mostly Blue, 64 GB)","₹9,499",4.4,"6,777 Ratings ", 440 Reviews,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display13MP + 8MP + 5MP + 2MP | 8MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G80 Processor1 Year for Handset, 6 Months for Accessories"
"REDMI 9 Power (Electric Green, 64 GB)","₹10,499",4.3,"65,992 Ratings "," 4,650 Reviews",4 GB RAM | 64 GB ROM16.59 cm (6.53 inch) Full HD+ Display48MP Rear Camera | 8MP Front Camera6000 mAh BatteryQualcomm Snapdragon 662 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"REDMI Note 9 (Shadow Black, 64 GB)","₹10,999",4.4,"47,914 Ratings "," 3,525 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
"OPPO A53 (Mint Cream, 128 GB)","₹14,997",4.4,"17,106 Ratings ", 926 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 460 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"REDMI 9 Prime (Mint Green, 64 GB)","₹9,999",4.4,"1,18,232 Ratings "," 7,940 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display13MP Rear Camera | 8MP Front Camera5020 mAh BatteryMediaTek Helio G80 Processor1 Year Manufacturer Warranty
"POCO C3 (Matte Black, 32 GB)","₹7,499",4.3,"2,40,166 Ratings "," 16,892 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"POCO M3 (Yellow, 64 GB)","₹10,999",4.3,"1,76,091 Ratings "," 13,034 Reviews","6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 662 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"REDMI Note 9 (Arctic White, 64 GB)","₹10,999",4.4,"47,914 Ratings "," 3,525 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
"REDMI Note 9 (Aqua Green, 64 GB)","₹10,999",4.4,"47,914 Ratings "," 3,525 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
"REDMI Note 9 (Aqua Green, 64 GB)","₹10,999",4.3,"63,619 Ratings "," 4,004 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera5020 mAh BatteryMediaTek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
"realme Narzo 30A (Laser Black, 64 GB)","₹9,999",4.4,"99,231 Ratings "," 5,422 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 8MP Front Camera6000 mAh BatteryMediaTek Helio G85 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"Infinix Smart HD 2021 (Quartz Green, 32 GB)","₹6,499",4.4,"55,135 Ratings "," 3,073 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio A20 Processor1 Year on Handset and 6 Months on Accessories
"I Kall K 320 (Purple, 64 GB)","₹6,799",3.2,"3,001 Ratings ", 225 Reviews,4 GB RAM | 64 GB ROM16.59 cm (6.53 inch) Display13MP + 2MP | 8MP Front Camera3600 mAh Battery1 Year warranty for mobile and 6 Months for box accessories || 2000 Plus service centre all over India
"Infinix Smart HD 2021 (Obsidian Black, 32 GB)","₹6,499",4.4,"55,135 Ratings "," 3,073 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio A20 Processor1 Year on Handset and 6 Months on Accessories
"Infinix Smart HD 2021 (Topaz Blue, 32 GB)","₹6,499",4.4,"55,135 Ratings "," 3,073 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio A20 Processor1 Year on Handset and 6 Months on Accessories
"realme Narzo 30A (Laser Blue, 32 GB)","₹8,999",4.4,"69,665 Ratings "," 4,238 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 8MP Front Camera6000 mAh BatteryMediaTek Helio G85 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"I Kall K400 (Blue, 64 GB)","₹6,299",3,"1,816 Ratings ", 168 Reviews,4 GB RAM | 64 GB ROM15.24 cm (6 inch) Display8MP + 5MP | 5MP Dual Front Camera2800 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"MOTOROLA E7 Power (Tahiti Blue, 32 GB)","₹6,999",4.1,"3,164 Ratings ", 237 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio G25 Processor1 Year on Handset and 6 Months on Accessories
"realme Narzo 30A (Laser Black, 32 GB)","₹8,999",4.4,"69,665 Ratings "," 4,238 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 8MP Front Camera6000 mAh BatteryMediaTek Helio G85 Processor1 Year Warranty for Mobile and 6 Months for Accessories
"MOTOROLA G10 Power (Breeze Blue, 64 GB)","₹9,499",4.1,"28,917 Ratings "," 2,166 Reviews",4 GB RAM | 64 GB ROM16.54 cm (6.51 inch) HD+ Display48MP + 8MP + 2MP + 2MP | 8MP Front Camera6000 mAh BatterySnapdragon 460 ProcessorStock Android Experience | Think Shield Security1 Year on Handset and 6 Months on Accessories
